"Character";"Dot 1";"Dot 2";"Dot 3";"Dot 4";"Dot 5";"Dot 6"
"A";"1";"0";"0";"0";"0";"0"
"B";"1";"1";"0";"0";"0";"0"
"C";"1";"0";"0";"1";"0";"0"
"D";"1";"0";"0";"1";"1";"0"
"E";"1";"0";"0";"0";"1";"0"
"F";"1";"1";"0";"1";"0";"0"
"G";"1";"1";"0";"1";"1";"0"
"H";"1";"1";"0";"0";"1";"0"
"I";"0";"1";"0";"1";"0";"0"
"J";"0";"1";"0";"1";"1";"0"
"K";"1";"0";"1";"0";"0";"0"
"L";"1";"1";"1";"0";"0";"0"
"M";"1";"0";"1";"1";"0";"0"
"N";"1";"0";"1";"1";"1";"0"
"O";"1";"0";"1";"0";"1";"0"
"P";"1";"1";"1";"1";"0";"0"
"Q";"1";"1";"1";"1";"1";"0"
"R";"1";"1";"1";"0";"1";"0"
"S";"0";"1";"1";"1";"1";"0"
"T";"0";"1";"1";"1";"1";"0"
"U";"1";"0";"1";"0";"0";"1"
"V";"1";"1";"1";"0";"0";"1"
"W";"0";"1";"0";"1";"1";"1"
"X";"1";"0";"1";"1";"0";"1"
"Y";"1";"0";"1";"1";"1";"1"
"Z";"1";"0";"1";"0";"1";"1"
"1";"1";"0";"0";"0";"0";"0"
"2";"1";"1";"0";"0";"0";"0"
"3";"1";"0";"0";"1";"0";"0"
"4";"1";"0";"0";"1";"1";"0"
"5";"1";"0";"0";"0";"1";"0"
"6";"1";"1";"0";"1";"0";"0"
"7";"1";"1";"0";"1";"1";"0"
"8";"1";"1";"0";"0";"1";"0"
"9";"0";"1";"0";"1";"0";"0"
"0";"0";"1";"0";"1";"1";"0"
"-";"0";"0";"0";"0";"0";"1"
",";"0";"0";"1";"0";"0";"1"
";";"0";"0";"1";"1";"0";"0"
":";"0";"0";"1";"1";"0";"1"
"(";"0";"1";"0";"0";"1";"1"
")";"1";"1";"1";"0";"0";"1"
"[";"0";"0";"1";"1";"1";"0"
"]";"1";"1";"1";"0";"1";"1"
"'";"0";"0";"0";"1";"0";"0"
".";"0";"0";"1";"0";"0";"0"
"!";"0";"0";"1";"1";"1";"1"
"?";"0";"1";"0";"0";"0";"1"
